                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.4215,                 1.2032,                 1.9778,                0.90385,                0.80677,                0.80403,                0.55847,                 1.3242,                 1.3263,                  2.162,             0.00096922,             0.00096922,             0.00096922
                     67,                 1.4345,                 1.1918,                 1.9552,                0.84897,                0.81838,                0.81218,                0.58184,                 1.2636,                 1.2506,                 2.1323,             0.00096215,             0.00096215,             0.00096215
                     68,                 1.4307,                 1.2024,                 1.9527,                0.87739,                 0.7875,                0.77067,                0.56565,                 1.2517,                 1.2769,                   2.08,             0.00095507,             0.00095507,             0.00095507
                     69,                 1.4101,                 1.2359,                 1.9688,                0.86694,                0.73828,                0.75418,                0.50232,                 1.4433,                 1.4161,                 2.2441,               0.000948,               0.000948,               0.000948
                     70,                 1.5045,                 1.2375,                 2.0153,                0.92024,                0.71808,                0.80275,                0.56171,                 1.2869,                 1.3417,                 2.1361,             0.00094093,             0.00094093,             0.00094093
                     71,                 1.4443,                 1.1487,                 1.9657,                0.55112,                 0.5625,                0.53236,                0.29517,                 1.7033,                  1.949,                 2.6671,             0.00093385,             0.00093385,             0.00093385
                     72,                 1.4137,                  1.153,                 1.9526,                0.94047,                0.77037,                0.81146,                 0.5411,                 1.3834,                  1.311,                 2.1965,             0.00092678,             0.00092678,             0.00092678
                     73,                 1.4592,                 1.2296,                 2.0157,                0.84521,                0.81131,                0.80697,                0.38654,                 1.8854,                 1.3927,                 2.6553,              0.0009197,              0.0009197,              0.0009197
                     74,                 1.4351,                 1.1982,                 1.9535,                0.90678,                0.79355,                0.80858,                 0.5694,                 1.2776,                 1.3212,                 2.0819,             0.00091263,             0.00091263,             0.00091263
                     75,                 1.3456,                 1.1813,                 1.9013,                0.87942,                0.75717,                0.78487,                0.55316,                 1.4119,                 1.1179,                 2.2351,             0.00090556,             0.00090556,             0.00090556
                     76,                 1.3639,                 1.1387,                 1.9083,                0.87708,                0.80833,                0.82498,                0.54127,                 1.4557,                 1.1219,                 2.2609,             0.00089848,             0.00089848,             0.00089848
                     77,                 1.4371,                 1.1879,                 1.9882,                0.92406,                0.78333,                0.81736,                0.58339,                 1.2511,                 1.0899,                 2.0696,             0.00089141,             0.00089141,             0.00089141
                     78,                 1.3841,                 1.1551,                 1.9605,                0.76279,                0.76381,                0.79579,                0.59091,                 1.2985,                 1.2918,                 2.0987,             0.00088434,             0.00088434,             0.00088434
                     79,                 1.3997,                 1.1049,                 1.9476,                 0.9092,                0.80833,                0.81505,                0.56999,                 1.3496,                 1.1561,                 2.1757,             0.00087726,             0.00087726,             0.00087726
                     80,                 1.4398,                 1.1971,                 1.9315,                0.87667,                 0.7875,                0.80013,                0.51737,                  1.578,                 1.2826,                 2.4714,             0.00087019,             0.00087019,             0.00087019
                     81,                 1.3534,                 1.0982,                 1.8691,                0.82851,                 0.7567,                0.77925,                  0.541,                 1.3968,                 1.4804,                 2.2654,             0.00086312,             0.00086312,             0.00086312
                     82,                 1.3113,                 1.0493,                 1.8594,                0.86358,                0.78333,                0.78438,                 0.5757,                 1.2324,                 1.2192,                 2.0366,             0.00085604,             0.00085604,             0.00085604
                     83,                 1.3984,                 1.1722,                 1.9216,                0.80461,                0.80833,                0.76925,                0.52473,                 1.4986,                 1.2476,                 2.3119,             0.00084897,             0.00084897,             0.00084897
                     84,                 1.3835,                 1.0838,                 1.9286,                0.89355,                0.80054,                0.80452,                0.56796,                 1.3522,                 1.1428,                 2.1193,              0.0008419,              0.0008419,              0.0008419
                     85,                 1.4283,                 1.1091,                 1.9653,                0.89173,                0.76667,                0.80787,                0.55488,                 1.3514,                 1.3098,                 2.1989,             0.00083482,             0.00083482,             0.00083482
                     86,                 1.3954,                 1.1586,                 1.9551,                0.88558,                0.76685,                0.75673,                0.53009,                 1.4277,                  1.272,                 2.1602,             0.00082775,             0.00082775,             0.00082775
                     87,                 1.3552,                 1.1218,                 1.8986,                0.86141,                0.78353,                0.79182,                0.57688,                 1.2352,                 1.1771,                 2.0305,             0.00082067,             0.00082067,             0.00082067
                     88,                 1.3414,                 1.0544,                 1.8995,                0.88873,                0.78629,                0.77971,                0.58764,                 1.1783,                 1.2273,                 1.9465,              0.0008136,              0.0008136,              0.0008136
                     89,                 1.3271,                 1.1005,                 1.8647,                0.88765,                0.79055,                0.80121,                0.57509,                 1.2324,                 1.1231,                 2.0326,             0.00080653,             0.00080653,             0.00080653
                     90,                 1.3312,                 1.0471,                 1.8576,                0.91609,                0.80833,                0.83295,                0.61813,                  1.241,                 1.0785,                 2.0149,             0.00079945,             0.00079945,             0.00079945
                     91,                  1.303,                 1.0339,                 1.8601,                0.87683,                 0.7598,                0.82564,                0.56906,                 1.3336,                 1.1737,                 2.1099,             0.00079238,             0.00079238,             0.00079238
                     92,                 1.3005,                 1.0122,                 1.8444,                0.88091,                0.80833,                0.81905,                0.58964,                 1.2215,                 1.1003,                 2.0407,             0.00078531,             0.00078531,             0.00078531
                     93,                 1.2442,                 1.0125,                 1.8123,                0.93883,                0.81637,                0.82812,                0.58764,                 1.3053,                 1.1837,                 2.1206,             0.00077823,             0.00077823,             0.00077823
                     94,                  1.311,                 1.0569,                 1.8404,                0.93541,                 0.8302,                0.83692,                0.65111,                 1.1652,                 1.0878,                 1.9701,             0.00077116,             0.00077116,             0.00077116
                     95,                 1.3076,                 1.0088,                 1.8253,                 0.9051,                0.76456,                0.80486,                0.33858,                 2.2702,                 1.3181,                 3.2707,             0.00076409,             0.00076409,             0.00076409
                     96,                 1.3129,                 1.0008,                 1.8589,                0.85639,                0.77674,                 0.7823,                0.59923,                 1.2774,                 1.2239,                 2.0051,             0.00075701,             0.00075701,             0.00075701
                     97,                 1.2716,                 1.0181,                 1.7948,                0.86847,                 0.7875,                0.78754,                0.61522,                 1.2808,                 1.1804,                 2.0244,             0.00074994,             0.00074994,             0.00074994
                     98,                 1.3414,                 1.0132,                  1.883,                0.88411,                 0.7875,                 0.8016,                0.64942,                 1.1456,                0.99813,                 1.9047,             0.00074287,             0.00074287,             0.00074287
                     99,                 1.2985,                 1.0194,                 1.8529,                0.88484,                0.80739,                0.81781,                0.61583,                 1.2019,                 1.0687,                 1.9689,             0.00073579,             0.00073579,             0.00073579
                    100,                 1.2024,                0.96991,                 1.7603,                0.91895,                0.78728,                0.78233,                0.59627,                 1.1849,                 1.0139,                   1.97,             0.00072872,             0.00072872,             0.00072872
                    101,                 1.4074,                 1.0841,                 1.9221,                0.88252,                0.80833,                0.82647,                0.61595,                 1.1367,                0.94939,                   1.96,             0.00072164,             0.00072164,             0.00072164
                    102,                 1.1946,                0.94515,                  1.766,                0.85832,                0.78624,                0.79181,                0.59882,                 1.1991,                 1.0375,                 1.9717,             0.00071457,             0.00071457,             0.00071457
                    103,                 1.2937,                 1.0433,                 1.8402,                0.93428,                0.79238,                 0.8264,                0.61438,                 1.1736,                0.98894,                 1.9863,              0.0007075,              0.0007075,              0.0007075
                    104,                 1.2035,                0.95596,                 1.7568,                0.91836,                0.73992,                0.79299,                 0.5413,                 1.4566,                 1.1413,                  2.228,             0.00070042,             0.00070042,             0.00070042
                    105,                 1.2165,                0.95744,                 1.7608,                0.89101,                 0.8125,                0.80651,                0.59468,                 1.1823,                 1.0575,                 1.9639,             0.00069335,             0.00069335,             0.00069335
                    106,                 1.1875,                0.98716,                  1.756,                0.95699,                0.76667,                0.82344,                0.59953,                 1.2401,                 1.1038,                 2.0014,             0.00068628,             0.00068628,             0.00068628
                    107,                 1.2401,                0.95453,                 1.7655,                0.92061,                0.79023,                0.79511,                0.40597,                 2.0597,                 1.3877,                 3.0304,              0.0006792,              0.0006792,              0.0006792
                    108,                 1.2103,                 1.0102,                 1.7716,                0.89019,                0.80822,                0.80317,                0.63385,                 1.1518,                0.96984,                  1.884,             0.00067213,             0.00067213,             0.00067213
                    109,                 1.2779,                0.93026,                 1.7984,                0.89116,                0.78491,                0.79334,                0.63283,                 1.1424,                0.97675,                 1.8706,             0.00066506,             0.00066506,             0.00066506
                    110,                 1.2237,                0.98441,                 1.7806,                0.86693,                0.82978,                 0.8414,                0.63941,                 1.1134,                0.89819,                 1.8677,             0.00065798,             0.00065798,             0.00065798
                    111,                 1.2728,                 1.0085,                 1.8367,                0.91471,                0.74583,                0.81048,                0.59616,                 1.2416,                 1.0187,                 1.9354,             0.00065091,             0.00065091,             0.00065091
                    112,                 1.2225,                0.99659,                 1.7743,                0.90754,                0.78533,                0.81076,                0.64906,                 1.0605,                0.95409,                 1.8228,             0.00064384,             0.00064384,             0.00064384
