                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.4168,                 1.1225,                 2.0427,                0.91532,                0.74583,                0.79279,                0.53971,                 1.3474,                 1.1702,                 2.1426,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.2966,                 1.0658,                 1.9586,                0.93296,                0.74833,                0.80138,                0.59898,                 1.2133,                 1.1115,                 2.0276,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.3106,                0.99803,                 1.9381,                0.92082,                0.76933,                0.79292,                0.57826,                 1.2451,                 1.1252,                 2.0438,             0.00028308,             0.00028308,             0.00028308
                     83,                 1.3302,                 1.0841,                 1.9968,                0.94612,                0.76667,                0.80472,                 0.6289,                 1.1529,                 1.0501,                 1.9391,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.3059,                 1.0641,                 1.9947,                0.90858,                0.77267,                0.79889,                0.62729,                 1.0961,                 1.0608,                  1.909,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.3186,                 1.0566,                 1.9923,                0.92045,                 0.7875,                0.81752,                0.62227,                 1.0784,                 1.0925,                 1.8776,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.3137,                 1.0541,                 2.0011,                 0.8807,                0.77363,                0.80036,                0.61733,                 1.0526,                 1.0442,                 1.8438,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.3313,                 1.0852,                 1.9776,                0.92246,                0.76667,                 0.8019,                 0.6239,                 1.0246,                 1.0146,                 1.8894,             0.00021235,             0.00021235,             0.00021235
                     88,                 1.3057,                 1.0055,                 1.9624,                 0.9159,                0.76667,                0.80266,                0.61455,                 1.0684,                0.98871,                 1.8965,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.2504,                 1.0306,                 1.9266,                 0.9289,                0.74583,                0.80206,                0.62531,                 1.0345,                 1.1121,                 1.8095,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.3329,                0.99867,                 1.9727,                0.84755,                0.74583,                0.80108,                0.63039,                 1.0416,                 1.3313,                 1.8119,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.1422,                 1.2343,                 1.9418,                0.90288,                0.74583,                0.79706,                0.59359,                 1.1388,                 1.1748,                 1.8519,             0.00015576,             0.00015576,             0.00015576
                     92,                  1.025,                  1.046,                 1.7423,                0.89095,                0.75863,                0.80122,                0.60513,                 1.1329,                 1.0795,                 1.8317,             0.00014161,             0.00014161,             0.00014161
                     93,                 1.0272,                0.99482,                 1.7604,                0.89029,                0.76145,                0.80169,                0.62843,                 1.0854,                 1.0378,                 1.8038,             0.00012747,             0.00012747,             0.00012747
                     94,                0.99892,                0.94295,                 1.7549,                0.88853,                 0.8125,                0.80643,                0.64628,                 1.0735,                 1.0606,                 1.8539,             0.00011332,             0.00011332,             0.00011332
                     95,                  0.944,                0.86142,                  1.715,                0.90687,                 0.8125,                0.80809,                0.65311,                 1.0627,                 1.0704,                 1.8571,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.94201,                 0.8458,                 1.6894,                 0.9156,                 0.8125,                 0.8053,                0.64448,                 1.0483,                 1.0255,                 1.8423,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 1.0016,                0.86141,                 1.7344,                0.91928,                 0.8125,                 0.8037,                0.63574,                 1.0544,                 1.0463,                 1.8569,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.93218,                0.80962,                 1.6502,                0.91619,                 0.8125,                0.80288,                0.63936,                 1.0622,                 1.0712,                 1.8794,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.98165,                0.83104,                   1.71,                 0.9364,                0.83333,                0.82698,                0.62996,                 1.0719,                 1.0727,                 1.8938,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.93124,                0.79017,                 1.6638,                0.94079,                0.83333,                0.82919,                0.64157,                 1.0639,                 1.0185,                 1.8795,             2.8437e-05,             2.8437e-05,             2.8437e-05
